window	Bract.rpkm	Corolla.rpkm	Ligule.rpkm	Ovary.rpkm	Pollen.rpkm	Seeds.rpkm	Stamen.rpkm	Stem.rpkm	Pistil.rpkm
window_4803	18.3	7.07	21.44	4.14	25.57	7.65	18.41	19.87	10.13
window_4822	13.51	8.39	14.18	7.49	0.05	7.46	2.73	18.96	6.86
window_5362	0.03	0.33	1	0	6.9	0.07	1.77	0.06	0.21
window_5370	0.07	0.29	1.71	0.19	0	0.01	0	0	0
window_5372	0.48	0.32	1.95	0.44	0	0.04	0	0.04	0.05
window_5415	0.09	0.88	2.05	0	0	0.02	0	0	0.27
window_5722	8.59	1.17	1.71	1.06	0.02	5.1	2.16	6.81	1.3
window_5787	0.1	0.1	0.54	0	0	0.17	0.05	0.52	0.16
window_5788	0.1	0.1	0.54	0	0	0.17	0.05	0.52	0.16
window_5789	0.1	0.1	0.54	0	0	0.17	0.05	0.52	0.16
window_5870	7.64	2.6	5.51	2.38	0.02	3.27	1.61	20.99	4.8
window_5871	7.64	2.6	5.51	2.38	0.02	3.27	1.61	20.99	4.8
window_6020	0.1	0.05	0.58	0	0	0.02	0	0.06	0.02
window_6035	257.41	151.98	108.04	21.55	0.53	0.05	13.19	265.55	27.58
window_6214	4.46	1.7	3.47	0.18	0.1	0.08	0.48	10.16	1.16
window_6267	0.17	0.55	0.43	0	0.01	0.14	0.15	0.24	0.1
window_6286	0	0	0	0	0	0	0.29	0.03	0.01
window_6309	0.01	0.08	0	0.38	0	0	0.04	0	0
window_6406	10.69	6.61	3.72	3.44	0	3.29	4.97	10.81	4.65
window_6407	62.85	8.09	11.67	3.41	0.31	18.17	2.04	12.05	16
window_6451	22.78	2.46	16.92	1.56	0.83	3.52	7.26	19.33	2.29
window_6494	579.75	334.54	706.68	499.09	98.22	1647.9	1117.22	844.03	1229.31
window_6571	66.49	31.34	48.29	20.26	2.71	29.92	37.38	68.25	45.23
window_6572	2	1.29	68.99	4.74	0	3.72	0.78	4.46	6.24
window_6591	0.01	4.11	0.48	0.62	0.01	0.03	6.31	0	0.2
window_6606	0.36	0.34	3.36	1.51	0	1.61	0.49	3.43	4.33
window_6636	0	0.07	0.02	0.06	0.56	0.4	2.83	0.03	0.04
window_6667	2.47	2.45	3.34	2.6	0.04	2.2	1.87	3.17	1.27
window_6687	0.81	1.1	0.64	0.87	0	2.99	0.31	0.67	0.48
window_6695	1.09	6.13	7.05	1.19	0.03	3.19	0.69	0.64	1.88
window_6696	1.09	6.13	7.05	1.19	0.03	3.19	0.69	0.64	1.88
window_6737	9.49	4.98	4.16	3.34	0.06	13.59	1.22	5.23	9.86
window_6766	25.96	21.6	22.22	14.76	0.4	29.64	31.14	18.18	22.36
window_6767	25.96	21.6	22.22	14.76	0.4	29.64	31.14	18.18	22.36
window_6774	57.77	12.3	54.7	4.48	0.97	19.18	9.88	43.03	12.44
window_6775	0.86	1.94	1.32	2.1	2.24	1.17	5.14	2.68	1.53
window_6788	1.89	1.23	1.33	0.47	0.05	0.86	0.93	1.75	0.92
window_6797	0.46	0.53	1.39	0.29	0	0.02	0.25	1.36	0.77
window_6803	3.31	2	5.09	1.18	0.06	3.45	1.35	4.72	1.56
window_6804	3.31	2	5.09	1.18	0.06	3.45	1.35	4.72	1.56
window_6836	55.23	17.4	35.65	17.91	0.85	24.69	31.93	48.29	42.61
window_6867	0	0	0	0	4.7	0	0.03	0	0.04
window_6889	39.7	14.35	36.04	12.17	0.13	20.54	3.78	27.86	30.61
window_6898	0.58	0.43	0.14	0.08	0.41	0.49	7.62	0.73	0.68
window_6912	0.05	0.17	0.245	0.415	5.91	0.16	3.015	0.87	0.185
window_6913	0	0	0	0	0	0	0.04	0	0.01
window_6927	0	0	0	3.22	0	73.57	0	0	0
window_6951	0	1.4	0.65	0	0.08	0	1.18	0	39.62
window_6968	0.95	0	0	0	0	0.03	0	0.03	6.84
window_6992	59.15	12.44	47.55	11.97	0.3	28.67	5.83	56.31	30.78
window_7003	1.24	0.2	1.07	0	0.4	0.47	0.71	1.6	1.91
window_7004	1.24	0.2	1.07	0	0.4	0.47	0.71	1.6	1.91
window_7005	1.24	0.2	1.07	0	0.4	0.47	0.71	1.6	1.91
window_7006	0.745	0.585	1.1	0.25	0.26	0.32	0.605	1.47	1.11
window_7007	0.25	0.97	1.13	0.5	0.12	0.17	0.5	1.34	0.31
window_7008	0.25	0.97	1.13	0.5	0.12	0.17	0.5	1.34	0.31
window_7024	0.46	0.08	0	0.04	0.08	0.23	0.51	0.64	0.13
window_7025	0.46	0.08	0	0.04	0.08	0.23	0.51	0.64	0.13
window_7026	0.46	0.08	0	0.04	0.08	0.23	0.51	0.64	0.13
window_7055	21.255	4.485	8.615	0.34	0.145	0.33	1.02	10.675	0.995
window_7056	3.91	1.22	4.89	0.06	0.25	0.62	0.97	5.14	0.98
window_7066	10.75	3.04	15.27	6.13	0.07	21.14	3.4	13.62	6.88
window_7067	10.75	3.04	15.27	6.13	0.07	21.14	3.4	13.62	6.88
window_7159	6.53	7.65	17.92	1.84	0.09	4.43	1.45	10.35	2.9
window_7190	14.01	1.96	6.45	1.5	0.05	2.57	3.21	19.73	6.45
window_7204	42.63	13.01	13.24	8.85	0.03	4.01	3.03	16.56	12.36
window_7215	0	0	0	0	0	0	0	0	0
window_7244	7.01	4.81	6.81	7.44	0.01	5.19	1.72	7.3	6.35
